league,season,match_id,date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,odds_over_2_5,odds_under_2_5
championship,2025,championship_2025_116_stoke_wrexham,18/10/2025,Stoke,Wrexham,1,0,1,0,12,5,3,3,6,4,8,5,2,0,0,0,1.95,3.46,3.87,1.95,1.8
championship,2025,championship_2025_117_west_brom_preston,18/10/2025,West Brom,Preston,2,1,1,0,16,17,6,5,8,4,10,9,2,1,0,0,1.78,3.5,4.63,2.2,1.62
championship,2025,championship_2025_118_leicester_portsmouth,18/10/2025,Leicester,Portsmouth,1,1,1,0,19,8,6,3,14,4,15,9,1,2,0,0,1.68,3.74,5.0,1.91,1.84
championship,2025,championship_2025_119_blackburn_sheffield_united,21/10/2025,Blackburn,Sheffield United,1,3,1,0,12,11,3,5,5,5,6,10,1,1,0,0,2.42,3.23,2.95,2.15,1.66
championship,2025,championship_2025_120_derby_norwich,21/10/2025,Derby,Norwich,1,0,0,0,8,17,3,3,5,13,13,7,2,1,0,0,2.49,3.16,2.92,2.18,1.65
championship,2025,championship_2025_121_hull_leicester,21/10/2025,Hull,Leicester,2,1,2,0,9,18,6,4,1,7,8,12,1,2,0,0,3.25,3.52,2.13,1.82,1.94
championship,2025,championship_2025_122_ipswich_charlton,21/10/2025,Ipswich,Charlton,0,3,0,0,31,15,5,8,16,3,7,11,0,3,0,0,1.62,3.79,5.6,2.04,1.74
championship,2025,championship_2025_123_millwall_stoke,21/10/2025,Millwall,Stoke,2,0,2,0,15,10,7,3,3,2,13,7,2,1,0,0,2.34,3.19,3.13,2.25,1.61
championship,2025,championship_2025_124_portsmouth_coventry,21/10/2025,Portsmouth,Coventry,1,2,0,1,15,19,5,7,6,5,5,12,1,1,0,0,3.95,3.77,1.84,1.74,2.03
championship,2025,championship_2025_125_preston_birmingham,21/10/2025,Preston,Birmingham,0,1,0,1,17,9,6,2,9,3,8,14,2,5,0,0,2.92,3.14,2.49,2.25,1.61
championship,2025,championship_2025_126_bristol_city_southampton,21/10/2025,Bristol City,Southampton,3,1,1,1,13,14,4,7,2,3,10,11,1,2,0,0,2.46,3.41,2.77,1.86,1.89
championship,2025,championship_2025_127_swansea_qpr,22/10/2025,Swansea,QPR,0,1,0,1,11,15,2,4,6,3,8,9,1,4,1,0,2.12,3.34,3.41,2.09,1.7
championship,2025,championship_2025_128_watford_west_brom,22/10/2025,Watford,West Brom,2,1,1,1,19,9,5,4,4,5,12,8,0,2,0,0,2.7,3.22,2.63,2.15,1.66
championship,2025,championship_2025_129_wrexham_oxford,22/10/2025,Wrexham,Oxford,1,0,1,0,11,6,6,2,6,3,12,12,3,1,1,0,1.99,3.44,3.73,1.95,1.79
championship,2025,championship_2025_130_sheffield_weds_middlesbrough,22/10/2025,Sheffield Weds,Middlesbrough,0,1,0,1,11,19,3,7,6,5,8,4,3,1,0,0,4.73,3.75,1.71,1.91,1.85
championship,2025,championship_2025_131_preston_sheffield_united,24/10/2025,Preston,Sheffield United,3,2,1,2,15,12,3,3,2,4,14,11,4,1,0,0,2.62,3.09,2.82,2.25,1.61
championship,2025,championship_2025_132_coventry_watford,25/10/2025,Coventry,Watford,3,1,3,0,12,13,3,8,5,7,10,8,3,2,0,1,1.49,4.43,6.08,1.64,2.18
championship,2025,championship_2025_133_ipswich_west_brom,25/10/2025,Ipswich,West Brom,1,0,0,0,15,10,4,1,4,5,12,8,1,1,0,0,1.77,3.61,4.57,1.97,1.8
championship,2025,championship_2025_134_portsmouth_stoke,25/10/2025,Portsmouth,Stoke,0,1,0,0,14,11,3,2,6,2,8,15,2,3,0,0,2.74,3.25,2.56,2.04,1.73
championship,2025,championship_2025_135_blackburn_southampton,25/10/2025,Blackburn,Southampton,2,1,0,1,18,12,6,5,6,5,13,7,3,1,0,1,2.95,3.29,2.38,1.98,1.77
championship,2025,championship_2025_136_bristol_city_birmingham,25/10/2025,Bristol City,Birmingham,1,0,1,0,5,13,1,1,0,6,9,6,2,1,0,0,2.26,3.29,3.19,2.09,1.69
championship,2025,championship_2025_137_derby_qpr,25/10/2025,Derby,QPR,1,0,1,0,12,6,4,1,5,2,13,10,2,2,0,0,2.52,3.28,2.77,2.08,1.71
championship,2025,championship_2025_138_hull_charlton,25/10/2025,Hull,Charlton,1,1,0,0,15,11,4,5,6,2,8,9,2,1,0,0,2.46,3.31,2.84,2.01,1.75
championship,2025,championship_2025_139_middlesbrough_wrexham,25/10/2025,Middlesbrough,Wrexham,1,1,0,1,14,6,4,2,4,4,8,17,0,5,0,0,1.77,3.65,4.51,1.94,1.81
championship,2025,championship_2025_140_millwall_leicester,25/10/2025,Millwall,Leicester,1,0,1,0,9,12,4,3,5,9,12,8,1,2,0,0,2.66,3.26,2.64,2.12,1.67
