event_id,commence_time,home,away,bookmaker_key,bookmaker,book_last_update,market,outcome_name,outcome_price,outcome_point,date
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,lowvig,LowVig.ag,,totals,Under,-106,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betonlineag,BetOnline.ag,,h2h,Carolina Hurricanes,-148,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betonlineag,BetOnline.ag,,h2h,Montréal Canadiens,130,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betonlineag,BetOnline.ag,,spreads,Carolina Hurricanes,177,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betonlineag,BetOnline.ag,,spreads,Montréal Canadiens,-205,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betonlineag,BetOnline.ag,,totals,Over,-110,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betonlineag,BetOnline.ag,,totals,Under,-106,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,bovada,Bovada,,h2h,Carolina Hurricanes,-147,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,bovada,Bovada,,h2h,Montréal Canadiens,127,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,bovada,Bovada,,spreads,Carolina Hurricanes,180,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,bovada,Bovada,,spreads,Montréal Canadiens,-220,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,bovada,Bovada,,totals,Over,-115,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,bovada,Bovada,,totals,Under,-105,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betrivers,BetRivers,,h2h,Carolina Hurricanes,-157,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betrivers,BetRivers,,h2h,Montréal Canadiens,128,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betrivers,BetRivers,,spreads,Carolina Hurricanes,155,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betrivers,BetRivers,,spreads,Montréal Canadiens,-205,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betrivers,BetRivers,,totals,Over,-121,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betrivers,BetRivers,,totals,Under,-105,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,mybookieag,MyBookie.ag,,h2h,Carolina Hurricanes,-150,,2026-05-28
