league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,222274,Enes Mahmutovic,NAC Breda,Center Right Defender,False,15,7,735.1,1.2244,0.0,0.0,0.1,0.2402,espn_true_per90
eredivisie,258967,Boy Kemper,NAC Breda,Left Back,False,32,32,2819.2,0.9577,0.1596,0.0958,0.4333,0.9213,espn_true_per90
eredivisie,379184,Cherrion Valerius,NAC Breda,Right Back,False,28,20,1833.3,0.8346,0.0,0.0982,0.1176,0.5991,espn_true_per90
eredivisie,272358,Kamal Sowah,NAC Breda,Attacking Midfielder,False,33,32,2786.0,1.163,0.0323,0.0323,0.25,0.9104,espn_true_per90
eredivisie,312264,Maximilien Balard,NAC Breda,Left Midfielder,False,32,32,2730.4,0.5274,0.0,0.033,0.0625,0.8923,espn_true_per90
eredivisie,268194,Boyd Lucassen,NAC Breda,Right Midfielder,False,20,13,1106.6,0.4066,0.0813,0.0,0.4,0.3617,espn_true_per90
eredivisie,276819,Sydney van Hooijdonk,NAC Breda,Forward,False,18,15,1196.4,2.7834,0.3761,0.0,0.2703,0.391,espn_true_per90
eredivisie,310137,Mohamed Nassoh,NAC Breda,Attacking Midfielder Left,False,28,20,1825.0,2.1205,0.2466,0.0493,0.3488,0.5964,espn_true_per90
eredivisie,370623,Juho Talvitie,NAC Breda,Attacking Midfielder Right,False,27,15,1395.0,1.871,0.1935,0.129,0.3793,0.4559,espn_true_per90
eredivisie,190996,Clint Leemans,NAC Breda,Substitute,False,31,15,1360.4,1.6539,0.0662,0.0,0.36,0.4446,espn_true_per90
eredivisie,408772,Pepijn Reulen,NAC Breda,Substitute,False,16,2,308.1,1.7526,0.2921,0.0,0.5,0.1007,espn_true_per90
eredivisie,379226,Raul Paula,NAC Breda,Substitute,False,21,7,708.1,2.9233,0.2542,0.2542,0.2609,0.2314,espn_true_per90
eredivisie,345176,Dion Versluis,NAC Breda,Substitute,False,6,0,21.2,4.2533,0.0,0.0,0.0,0.0069,espn_true_per90
eredivisie,190983,Andries Noppert,Heerenveen,Goalkeeper,True,4,4,360.0,0.0,0.0,0.0,,0.1143,espn_true_per90
eredivisie,333779,Nikolai Hopland,Heerenveen,Center Left Defender,False,18,5,529.7,0.3398,0.1699,0.0,0.5,0.1682,espn_true_per90
eredivisie,241526,Sam Kersten,Heerenveen,Center Right Defender,False,32,28,2442.0,0.3686,0.0369,0.0,0.3,0.7752,espn_true_per90
eredivisie,323268,Hristiyan Petrov,Heerenveen,Left Back,False,21,3,513.1,0.3508,0.0,0.0,0.0,0.1629,espn_true_per90
eredivisie,290209,Vasilios Zagaritis,Heerenveen,Right Back,False,35,34,2898.7,0.6831,0.0621,0.0931,0.2727,0.9202,espn_true_per90
