league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
epl,2024,understat_6482,Eddie Nketiah,Crystal Palace,F M S,984.0,29,3.9329,0.6543,0.1268,0.2744,0.0915,1.189,0.377,False,understat
epl,2024,understat_6615,Trevoh Chalobah,"Chelsea,Crystal Palace",D S,1983.0,25,0.8169,0.1157,0.0977,0.1362,0.0454,0.3631,0.8813,False,understat
epl,2024,understat_6665,Curtis Jones,Liverpool,D F M S,1719.0,33,1.7801,0.2393,0.0917,0.1571,0.1571,1.1518,0.5788,False,understat
epl,2024,understat_7603,Marc Guehi,Crystal Palace,D M,3060.0,34,0.4412,0.0871,0.0628,0.0882,0.0588,0.4706,1.0,False,understat
epl,2024,understat_8044,Joshua Zirkzee,Manchester United,F M S,1378.0,32,1.8287,0.3408,0.1313,0.1959,0.0653,0.7837,0.4785,False,understat
epl,2024,understat_8563,George Hirst,Ipswich,F S,609.0,26,2.069,0.4062,0.0597,0.4433,0.1478,0.5911,0.2603,False,understat
epl,2024,understat_8981,Jéremy Doku,Manchester City,F M S,1518.0,29,1.7194,0.1123,0.2755,0.1779,0.3557,1.8972,0.5816,False,understat
epl,2024,understat_9021,Pape Sarr,Tottenham,M S,1913.0,36,1.5996,0.1879,0.0948,0.1411,0.0941,0.7527,0.5904,False,understat
epl,2024,understat_9667,Amadou Onana,Aston Villa,M S,1650.0,26,0.9273,0.1406,0.0373,0.1636,0.0,0.5455,0.7051,False,understat
epl,2024,understat_9749,Donyell Malen,Aston Villa,M S,265.0,14,5.0943,1.0257,0.0612,1.0189,0.0,1.0189,0.2103,False,understat
epl,2024,understat_10126,James McAtee,Manchester City,M S,341.0,15,3.1672,0.6775,0.2255,0.7918,0.0,0.7918,0.2526,False,understat
epl,2024,understat_10348,Omari Hutchinson,Ipswich,M S,2620.0,31,1.5458,0.121,0.1159,0.1031,0.0687,1.0649,0.9391,False,understat
epl,2024,understat_10527,Carlos Baleba,Brighton,D M S,2717.0,34,1.4575,0.0955,0.0539,0.0994,0.0331,0.6956,0.8879,False,understat
epl,2024,understat_10741,Marcus Tavernier,Bournemouth,M S,1930.0,29,2.658,0.299,0.2426,0.1399,0.2332,2.0052,0.7395,False,understat
epl,2024,understat_10766,Joe Ayodele-Aribo,Southampton,D M S,2019.0,32,0.7578,0.1304,0.0783,0.1337,0.0,0.7132,0.701,False,understat
