team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Carolina Hurricanes,8482809,2,Jackson Blake,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8478333333333333,0.14266666666666666,0.1085,0.25116666666666665,0.19599999999999998,0.0,286.3703703703682,1
Montréal Canadiens,8479339,2,Patrik Laine,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.73,0.06383333333333333,0.07533333333333334,0.13916666666666666,0.2523333333333333,0.0,227.62962962963536,1
Montréal Canadiens,8484403,2,Florian Xhekaj,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.4663333333333333,0.028,0.0755,0.1035,0.183,0.0,227.62962962963536,1
Montréal Canadiens,8480074,2,Alexandre Texier,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5995,0.0725,0.06083333333333333,0.13333333333333333,0.14716666666666667,0.0,227.62962962963536,1
Montréal Canadiens,8482087,2,Kaiden Guhle,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.4681666666666667,0.024999999999999998,0.07333333333333333,0.09833333333333333,0.5865,0.0,278.59259259259176,1
Montréal Canadiens,8484984,2,Ivan Demidov,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.7885,0.027166666666666665,0.11866666666666666,0.14583333333333331,0.23083333333333333,0.0,269.02962962963426,1
Montréal Canadiens,8478133,2,Jake Evans,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6593333333333333,0.03,0.11016666666666666,0.14016666666666666,0.25666666666666665,0.0,269.02962962963426,1
Montréal Canadiens,8481618,2,Alex Newhook,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.814,0.16666666666666666,0.044,0.21066666666666667,0.23583333333333334,0.0,269.02962962963426,1
Carolina Hurricanes,8480336,2,Sean Walker,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6801666666666667,0.07416666666666666,0.1475,0.22166666666666665,0.5275,0.0,358.6074074073887,1
Carolina Hurricanes,8478970,2,Jalen Chatfield,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.644,0.03266666666666666,0.15216666666666667,0.18483333333333335,0.2875,0.0,358.6074074073887,1
Montréal Canadiens,8478851,2,Alexandre Carrier,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5343333333333333,0.041499999999999995,0.08416666666666667,0.12566666666666665,0.6673333333333333,0.0,353.0222222222003,1
Montréal Canadiens,8480865,2,Noah Dobson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6114999999999999,0.03666666666666667,0.09316666666666666,0.12983333333333333,0.419,0.0,300.80740740739293,1
