full_name,player_id,team,position,team_id
Jimmy Snuggerud,8483516,STL,F,
Oskar Sundqvist,8476897,STL,F,
Pius Suter,8480459,STL,F,
Robert Thomas,8480023,STL,F,
Alexey Toropchenko,8480281,STL,F,
Nathan Walker,8477573,STL,F,
Philip Broberg,8481598,STL,D,
Cam Fowler,8475764,STL,D,
Justin Holl,8475718,STL,D,
Matthew Kessel,8482516,STL,D,
Logan Mailloux,8482733,STL,D,
Colton Parayko,8476892,STL,D,
Tyler Tucker,8481006,STL,D,
Jordan Binnington,8476412,STL,G,
Joel Hofer,8480981,STL,G,
Oliver Bjorkstrand,8477416,TBL,F,
Anthony Cirelli,8478519,TBL,F,
Conor Geekie,8483447,TBL,F,
Zemgus Girgensons,8476878,TBL,F,
Gage Goncalves,8482201,TBL,F,
Yanni Gourde,8476826,TBL,F,
Jake Guentzel,8477404,TBL,F,
Brandon Hagel,8479542,TBL,F,
Pontus Holmberg,8480995,TBL,F,
Dominic James,8483752,TBL,F,
Nikita Kucherov,8476453,TBL,F,
Nick Paul,8477426,TBL,F,
Corey Perry,8470621,TBL,F,
Brayden Point,8478010,TBL,F,
Scott Sabourin,8477149,TBL,F,
Declan Carlile,8483398,TBL,D,
Erik Cernak,8478416,TBL,D,
Max Crozier,8481719,TBL,D,
Charle-Edouard D'Astous,8480426,TBL,D,
Victor Hedman,8475167,TBL,D,
Emil Lilleberg,8482929,TBL,D,
Ryan McDonagh,8474151,TBL,D,
J.J. Moser,8482655,TBL,D,
Darren Raddysh,8478178,TBL,D,
Jonas Johansson,8477992,TBL,G,
Harrison Meneghin,8484636,TBL,G,
Andrei Vasilevskiy,8476883,TBL,G,
Max Domi,8477503,TOR,F,
Bo Groulx,8480870,TOR,F,
Luke Haymes,8485467,TOR,F,
Calle Jarnkrok,8475714,TOR,F,
Dakota Joshua,8478057,TOR,F,
Matthew Knies,8482720,TOR,F,
Steven Lorentz,8478904,TOR,F,
Matias Maccelli,8481711,TOR,F,
Auston Matthews,8479318,TOR,F,
William Nylander,8477939,TOR,F,
Nicholas Robertson,8481582,TOR,F,
John Tavares,8475166,TOR,F,
Simon Benoit,8481122,TOR,D,
Brandon Carlo,8478443,TOR,D,
Oliver Ekman-Larsson,8475171,TOR,D,
Jake McCabe,8476931,TOR,D,
Philippe Myers,8479026,TOR,D,
Morgan Rielly,8476853,TOR,D,
Troy Stecher,8479442,TOR,D,
Chris Tanev,8475690,TOR,D,
Anthony Stolarz,8476932,TOR,G,
Joseph Woll,8479361,TOR,G,
Nils Aman,8482496,VAN,F,
Teddy Blueger,8476927,VAN,F,
Brock Boeser,8478444,VAN,F,
Filip Chytil,8480078,VAN,F,
Jake DeBrusk,8478498,VAN,F,
Curtis Douglas,8480876,VAN,F,
Nils Hoglander,8481535,VAN,F,
Evander Kane,8475169,VAN,F,
Linus Karlsson,8481024,VAN,F,
Drew O'Connor,8482055,VAN,F,
Liam Ohgren,8483499,VAN,F,
Elias Pettersson,8480012,VAN,F,
Aatu Räty,8482691,VAN,F,
Marco Rossi,8482079,VAN,F,
Max Sasson,8484136,VAN,F,
Zeev Buium,8484798,VAN,D,
Derek Forbort,8475762,VAN,D,
Filip Hronek,8479425,VAN,D,
Pierre-Olivier Joseph,8480058,VAN,D,
Victor Mancini,8483768,VAN,D,
Elias Pettersson,8483678,VAN,D,
Marcus Pettersson,8477969,VAN,D,
Tom Willander,8484240,VAN,D,
Thatcher Demko,8477967,VAN,G,
Kevin Lankinen,8480947,VAN,G,
Nikita Tolopilo,8484268,VAN,G,
Ivan Barbashev,8477964,VGK,F,
Braeden Bowman,8483890,VGK,F,
Trevor Connelly,8484803,VGK,F,
Pavel Dorofeyev,8481604,VGK,F,
Nic Dowd,8475343,VGK,F,
Jack Eichel,8478403,VGK,F,
Tomas Hertl,8476881,VGK,F,
Alexander Holtz,8482125,VGK,F,
Brett Howden,8479353,VGK,F,
William Karlsson,8476448,VGK,F,
Keegan Kolesar,8478434,VGK,F,
Tanner Laczynski,8479550,VGK,F,
Raphael Lavoie,8481534,VGK,F,
Mitch Marner,8478483,VGK,F,
Jonas Rondbjerg,8480007,VGK,F,
Brandon Saad,8476438,VGK,F,
Colton Sissons,8476925,VGK,F,
Cole Smith,8482062,VGK,F,
Reilly Smith,8475191,VGK,F,
Mark Stone,8475913,VGK,F,
Kai Uchacz,8485251,VGK,F,
Rasmus Andersson,8478397,VGK,D,
Dylan Coghlan,8479639,VGK,D,
Jeremy Davies,8479602,VGK,D,
Noah Hanifin,8478396,VGK,D,
Ben Hutton,8477018,VGK,D,
Kaedan Korczak,8481527,VGK,D,
Jeremy Lauzon,8478468,VGK,D,
Brayden McNabb,8475188,VGK,D,
Jaycob Megna,8477034,VGK,D,
Shea Theodore,8477447,VGK,D,
Carter Hart,8479394,VGK,G,
Adin Hill,8478499,VGK,G,
Carl Lindbom,8482761,VGK,G,
Akira Schmid,8481033,VGK,G,
Morgan Barron,8480289,WPG,F,
Nikita Chibrikov,8482787,WPG,F,
Kyle Connor,8478398,WPG,F,
Alex Iafallo,8480113,WPG,F,
Cole Koepke,8481043,WPG,F,
Adam Lowry,8476392,WPG,F,
Vladislav Namestnikov,8476480,WPG,F,
Nino Niederreiter,8475799,WPG,F,
Gustav Nyquist,8474679,WPG,F,
Cole Perfetti,8482149,WPG,F,
Isak Rosen,8482765,WPG,F,
Mark Scheifele,8476460,WPG,F,
Jonathan Toews,8473604,WPG,F,
Gabriel Vilardi,8480014,WPG,F,
Jacob Bryson,8480196,WPG,D,
Dylan DeMelo,8476331,WPG,D,
Haydn Fleury,8477938,WPG,D,
Ville Heinola,8481572,WPG,D,
Colin Miller,8476525,WPG,D,
Josh Morrissey,8477504,WPG,D,
Neal Pionk,8480145,WPG,D,
Elias Salomonsson,8483510,WPG,D,
Dylan Samberg,8480049,WPG,D,
Eric Comrie,8477480,WPG,G,
Connor Hellebuyck,8476945,WPG,G,
Anthony Beauvillier,8478463,WSH,F,
Pierre-Luc Dubois,8479400,WSH,F,
Brandon Duhaime,8479520,WSH,F,
Ethen Frank,8483573,WSH,F,
David Kampf,8480144,WSH,F,
Hendrix Lapierre,8482148,WSH,F,
Ryan Leonard,8484186,WSH,F,
Connor McMichael,8481580,WSH,F,
Ivan Miroshnichenko,8483491,WSH,F,
Alex Ovechkin,8471214,WSH,F,
Aliaksei Protas,8481656,WSH,F,
Ilya Protas,8484999,WSH,F,
Justin Sourdif,8482088,WSH,F,
Dylan Strome,8478440,WSH,F,
Tom Wilson,8476880,WSH,F,
Declan Chisholm,8480990,WSH,D,
Jakob Chychrun,8479345,WSH,D,
Martin Fehérváry,8480796,WSH,D,
Cole Hutson,8484873,WSH,D,
Timothy Liljegren,8480043,WSH,D,
Dylan McIlrath,8475795,WSH,D,
Matt Roy,8478911,WSH,D,
Rasmus Sandin,8480873,WSH,D,
Trevor van Riemsdyk,8477845,WSH,D,
Charlie Lindgren,8479292,WSH,G,
Clay Stevenson,8483532,WSH,G,
Logan Thompson,8480313,WSH,G,
