event_key,market,selection,line,price,snapshot_ts
Las Vegas Raiders @ New Orleans Saints,total,over,42.5,-110,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,total,under,42.5,-110,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,moneyline,away,,120,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,moneyline,home,,-142,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,spread,home,-2.5,,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,total,over,48.5,-110,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,total,under,48.5,-110,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,moneyline,away,,136,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,moneyline,home,,-162,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,spread,home,-3.0,,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,total,over,45.5,-110,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,total,under,45.5,-110,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,moneyline,away,,-155,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,moneyline,home,,130,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,spread,home,3.0,,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,total,over,45.5,-110,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,total,under,45.5,-110,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,moneyline,away,,-142,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,moneyline,home,,120,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,spread,home,2.5,,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,total,over,47.5,-110,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,total,under,47.5,-110,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,moneyline,away,,145,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,moneyline,home,,-175,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,spread,home,-3.0,,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,total,over,41.5,-110,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,total,under,41.5,-110,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,moneyline,away,,300,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,moneyline,home,,-380,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,spread,home,-7.5,,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,total,over,43.5,-110,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,total,under,43.5,-110,2026-07-09T21:12:54Z
Miami Dolphins @ San Francisco 49ers,moneyline,away,,440,2026-07-09T21:12:54Z
Miami Dolphins @ San Francisco 49ers,moneyline,home,,-600,2026-07-09T21:12:54Z
Miami Dolphins @ San Francisco 49ers,spread,home,-10.5,,2026-07-09T21:12:54Z
Miami Dolphins @ San Francisco 49ers,total,over,46.5,-110,2026-07-09T21:12:54Z
Miami Dolphins @ San Francisco 49ers,total,under,46.5,-110,2026-07-09T21:12:54Z
Minnesota Vikings @ Chicago Bears,moneyline,away,,150,2026-07-09T21:12:54Z
Minnesota Vikings @ Chicago Bears,moneyline,home,,-180,2026-07-09T21:12:54Z
Minnesota Vikings @ Chicago Bears,spread,home,-3.5,,2026-07-09T21:12:54Z
Minnesota Vikings @ Chicago Bears,total,over,45.5,-110,2026-07-09T21:12:54Z
Minnesota Vikings @ Chicago Bears,total,under,45.5,-110,2026-07-09T21:12:54Z
Minnesota Vikings @ New Orleans Saints,moneyline,away,,-120,2026-07-09T21:12:54Z
Minnesota Vikings @ New Orleans Saints,moneyline,home,,100,2026-07-09T21:12:54Z
Minnesota Vikings @ New Orleans Saints,spread,home,1.5,,2026-07-09T21:12:54Z
Minnesota Vikings @ New Orleans Saints,total,over,44.5,-110,2026-07-09T21:12:54Z
Minnesota Vikings @ New Orleans Saints,total,under,44.5,-110,2026-07-09T21:12:54Z
Minnesota Vikings @ Tampa Bay Buccaneers,moneyline,away,,105,2026-07-09T21:12:54Z
Minnesota Vikings @ Tampa Bay Buccaneers,moneyline,home,,-125,2026-07-09T21:12:54Z
Minnesota Vikings @ Tampa Bay Buccaneers,spread,home,-1.5,,2026-07-09T21:12:54Z
Minnesota Vikings @ Tampa Bay Buccaneers,total,over,44.5,-110,2026-07-09T21:12:54Z
Minnesota Vikings @ Tampa Bay Buccaneers,total,under,44.5,-110,2026-07-09T21:12:54Z
New England Patriots @ Buffalo Bills,moneyline,away,,136,2026-07-09T21:12:54Z
New England Patriots @ Buffalo Bills,moneyline,home,,-162,2026-07-09T21:12:54Z
New England Patriots @ Buffalo Bills,spread,home,-3.0,,2026-07-09T21:12:54Z
New England Patriots @ Buffalo Bills,total,over,49.5,-110,2026-07-09T21:12:54Z
New England Patriots @ Buffalo Bills,total,under,49.5,-110,2026-07-09T21:12:54Z
New England Patriots @ Seattle Seahawks,moneyline,away,,160,2026-07-09T21:12:54Z
New England Patriots @ Seattle Seahawks,moneyline,home,,-192,2026-07-09T21:12:54Z
New England Patriots @ Seattle Seahawks,spread,home,-3.5,,2026-07-09T21:12:54Z
New England Patriots @ Seattle Seahawks,total,over,44.5,-110,2026-07-09T21:12:54Z
New England Patriots @ Seattle Seahawks,total,under,44.5,-110,2026-07-09T21:12:54Z
New Orleans Saints @ Baltimore Ravens,moneyline,away,,310,2026-07-09T21:12:54Z
New Orleans Saints @ Baltimore Ravens,moneyline,home,,-395,2026-07-09T21:12:54Z
New Orleans Saints @ Baltimore Ravens,spread,home,-7.5,,2026-07-09T21:12:54Z
New Orleans Saints @ Baltimore Ravens,total,over,46.5,-110,2026-07-09T21:12:54Z
New Orleans Saints @ Baltimore Ravens,total,under,46.5,-110,2026-07-09T21:12:54Z
New Orleans Saints @ Detroit Lions,moneyline,away,,260,2026-07-09T21:12:54Z
New Orleans Saints @ Detroit Lions,moneyline,home,,-325,2026-07-09T21:12:54Z
New Orleans Saints @ Detroit Lions,spread,home,-7.0,,2026-07-09T21:12:54Z
New Orleans Saints @ Detroit Lions,total,over,48.5,-115,2026-07-09T21:12:54Z
New Orleans Saints @ Detroit Lions,total,under,48.5,-105,2026-07-09T21:12:54Z
New York Giants @ Los Angeles Rams,moneyline,away,,320,2026-07-09T21:12:54Z
New York Giants @ Los Angeles Rams,moneyline,home,,-410,2026-07-09T21:12:54Z
New York Giants @ Los Angeles Rams,spread,home,-9.5,,2026-07-09T21:12:54Z
New York Giants @ Los Angeles Rams,total,over,47.5,-110,2026-07-09T21:12:54Z
New York Giants @ Los Angeles Rams,total,under,47.5,-110,2026-07-09T21:12:54Z
New York Giants @ Washington Commanders,moneyline,away,,114,2026-07-09T21:12:54Z
New York Giants @ Washington Commanders,moneyline,home,,-135,2026-07-09T21:12:54Z
New York Giants @ Washington Commanders,spread,home,-2.5,,2026-07-09T21:12:54Z
New York Giants @ Washington Commanders,total,over,48.5,-110,2026-07-09T21:12:54Z
New York Giants @ Washington Commanders,total,under,48.5,-110,2026-07-09T21:12:54Z
New York Jets @ Chicago Bears,moneyline,away,,310,2026-07-09T21:12:54Z
