player_name,market,selection,line,price,snapshot_ts
george springer,batter_hits_runs_rbis,under,0.5,-209,2026-07-12T02:47:20Z
george springer,batter_home_runs,over,0.5,700,2026-07-12T01:58:17Z
george springer,batter_home_runs,over,0.5,+950,2026-07-12T02:47:20Z
george springer,batter_rbis,over,0.5,295,2026-07-12T01:58:17Z
george springer,batter_rbis,over,0.5,+475,2026-07-12T02:47:20Z
george springer,batter_rbis,under,0.5,-450,2026-07-12T01:58:17Z
george springer,batter_rbis,under,0.5,-750,2026-07-12T02:47:20Z
george springer,batter_runs_scored,over,0.5,200,2026-07-12T01:58:17Z
george springer,batter_runs_scored,over,0.5,+320,2026-07-12T02:47:20Z
george springer,batter_runs_scored,under,0.5,-290,2026-07-12T01:58:17Z
george springer,batter_runs_scored,under,0.5,-500,2026-07-12T02:47:20Z
geraldo perdomo,batter_hits,over,0.5,150,2026-07-12T01:58:17Z
geraldo perdomo,batter_hits,over,0.5,+225,2026-07-12T02:47:20Z
geraldo perdomo,batter_hits,under,0.5,-200,2026-07-12T01:58:17Z
geraldo perdomo,batter_hits,under,0.5,-310,2026-07-12T02:47:20Z
geraldo perdomo,batter_hits_runs_rbis,over,0.5,117,2026-07-12T01:58:17Z
geraldo perdomo,batter_hits_runs_rbis,over,1.5,+180,2026-07-12T02:47:20Z
geraldo perdomo,batter_hits_runs_rbis,under,0.5,-157,2026-07-12T01:58:17Z
geraldo perdomo,batter_hits_runs_rbis,under,1.5,-245,2026-07-12T02:47:20Z
geraldo perdomo,batter_home_runs,over,0.5,1300,2026-07-12T01:58:17Z
geraldo perdomo,batter_home_runs,over,0.5,+2600,2026-07-12T02:47:20Z
geraldo perdomo,batter_rbis,over,0.5,500,2026-07-12T01:58:17Z
geraldo perdomo,batter_rbis,over,0.5,+800,2026-07-12T02:47:20Z
geraldo perdomo,batter_rbis,under,0.5,-900,2026-07-12T01:58:17Z
geraldo perdomo,batter_rbis,under,0.5,-1600,2026-07-12T02:47:20Z
geraldo perdomo,batter_runs_scored,over,0.5,350,2026-07-12T01:58:17Z
geraldo perdomo,batter_runs_scored,over,1.5,+500,2026-07-12T02:47:20Z
geraldo perdomo,batter_runs_scored,under,0.5,-550,2026-07-12T01:58:17Z
geraldo perdomo,batter_runs_scored,under,1.5,-900,2026-07-12T02:47:20Z
geraldo perdomo,batter_total_bases,over,0.5,125,2026-07-12T01:58:17Z
geraldo perdomo,batter_total_bases,under,0.5,-165,2026-07-12T01:58:17Z
jackson merrill,batter_hits,over,0.5,-130,2026-07-12T01:58:17Z
jackson merrill,batter_hits,over,1.5,+270,2026-07-12T02:47:20Z
jackson merrill,batter_hits,under,0.5,-105,2026-07-12T01:58:17Z
jackson merrill,batter_hits,under,1.5,-380,2026-07-12T02:47:20Z
jackson merrill,batter_hits_runs_rbis,over,2.5,-170,2026-07-12T01:58:17Z
jackson merrill,batter_hits_runs_rbis,over,3.5,+200,2026-07-12T02:47:20Z
jackson merrill,batter_hits_runs_rbis,under,2.5,127,2026-07-12T01:58:17Z
jackson merrill,batter_hits_runs_rbis,under,3.5,-290,2026-07-12T02:47:20Z
jackson merrill,batter_home_runs,over,0.5,750,2026-07-12T01:58:17Z
jackson merrill,batter_home_runs,over,0.5,+2000,2026-07-12T02:47:20Z
jackson merrill,batter_rbis,over,0.5,225,2026-07-12T01:58:17Z
jackson merrill,batter_rbis,over,0.5,+700,2026-07-12T02:47:20Z
jackson merrill,batter_rbis,under,0.5,-325,2026-07-12T01:58:17Z
jackson merrill,batter_rbis,under,0.5,-1400,2026-07-12T02:47:20Z
jackson merrill,batter_runs_scored,over,2.5,170,2026-07-12T01:58:17Z
jackson merrill,batter_runs_scored,over,2.5,+550,2026-07-12T02:47:20Z
jackson merrill,batter_runs_scored,under,2.5,-245,2026-07-12T01:58:17Z
jackson merrill,batter_runs_scored,under,2.5,-900,2026-07-12T02:47:20Z
jackson merrill,batter_total_bases,over,0.5,-127,2026-07-12T01:58:17Z
jackson merrill,batter_total_bases,over,1.5,+250,2026-07-12T02:47:20Z
