team,player_id,player,market,value,sim_idx,game_home,game_away,date,period
Carolina Hurricanes,0,TEAM,GOALS,1.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,7.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,0.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,4.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,3.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,7.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,4.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,1.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,4.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,1.0,24,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,11.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,4.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,6.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,7.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,3.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,25,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,6.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,4.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,1.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,4.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,0.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,26,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,6.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,3.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,4.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,0.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,27,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
